Species,Treatment,Core,Colony,PropD2,PropD1,PropD4,PropD3,Batch,initial d
O.faveolata,Control,1-13-a,13,0.783555403,0.788914041,0.964751827,0.874153615,1,NA
O.faveolata,Manipulated,1-13-c,13,1,0.160033067,1,1,2,y
O.faveolata,Control,1-13-d,13,0.097927189,0.056453359,0.028851717,0.063389453,2,y
O.faveolata,Manipulated,1-21-a,21,0.191332734,0.006538041,0.876184104,1,1,y
O.faveolata,Manipulated,1-21-b,21,0.185503457,0.000404087,0.850047466,1,1,y
O.faveolata,Control,1-21-d,21,0.009259288,0.00705967,0.002166989,0.005713139,2,y
O.faveolata,Manipulated,1-34-a,34,0,0,0.614804602,1,1,n
O.faveolata,Manipulated,1-34-b,34,0,0,0.027393282,0.048059987,1,n
O.faveolata,Control,1-34-d,34,0,0,0,0,2,n
O.faveolata,Control,1-36-a,36,0,0,0,0,1,n
O.faveolata,Manipulated,1-36-b,36,0,0,0,0,1,n
O.faveolata,Manipulated,1-36-c,36,0,0,NA,1,2,n
O.faveolata,Manipulated,1-4-a,4,0.092523851,0.001555174,1,1,1,y
O.faveolata,Manipulated,1-4-b,4,1,0.033783348,1,1,1,y
O.faveolata,Manipulated,1-4-c,4,0.085203702,0,1,1,2,n
O.faveolata,Control,1-62-a,62,0,0,0,0,1,n
O.faveolata,Manipulated,1-62-b,62,0,0,1,1,1,n
O.faveolata,Manipulated,1-62-c,62,0,0,0.2512367,0,2,n
O.faveolata,Manipulated,1-62-d,62,0,0,NA,0,2,n
O.faveolata,Manipulated,1-64-a,64,1,0.843985446,1,1,1,NA
O.faveolata,Control,1-64-b,64,0.851280214,0.883901587,0.976141862,0.913711038,1,NA
O.faveolata,Manipulated,1-64-c,64,1,0.9713626,1,1,2,NA
O.faveolata,Manipulated,1-64-d,64,1,0.485454513,NA,1,2,NA
O.faveolata,Manipulated,1-65-a,65,1,1,1,1,1,NA
O.faveolata,Control,1-65-b,65,1,1,1,1,1,NA
O.faveolata,Manipulated,1-65-c,65,1,1,1,1,2,NA
O.faveolata,Manipulated,1-65-d,65,1,1,1,1,2,NA
O.faveolata,Manipulated,1-66-a,66,1,1,1,1,1,NA
O.faveolata,Manipulated,1-66-b,66,1,1,1,1,1,NA
O.faveolata,Manipulated,1-66-c,66,1,1,1,1,2,NA
O.faveolata,Control,1-66-d,66,1,1,1,1,2,NA
O.faveolata,Manipulated,1-81-a,81,NA,0.014617029,1,1,1,y
O.faveolata,Manipulated,1-81-b,81,1,0.003250417,1,1,1,y
O.faveolata,Manipulated,1-81-c,81,1,0.022251898,1,1,2,y
O.faveolata,Control,1-81-d,81,0.008992916,0.028047107,0.001711606,0.005352261,2,y
S.siderea,Manipulated,2-16-a,16,1,0.035499757,1,1,1,y
S.siderea,Control,2-16-b,16,0.114552309,0.240387655,0,0.057276154,1,y
S.siderea,Manipulated,2-16-c,16,1,0.862705922,1,1,2,NA
S.siderea,Manipulated,2-16-d,16,NA,0.775884498,1,1,2,NA
S.siderea,Manipulated,2-18-a,18,NA,0.96594721,1,1,1,NA
S.siderea,Control,2-18-b,18,1,1,1,1,1,NA
S.siderea,Control,2-18-c,18,0.903419938,0.992728986,1,0.951709969,2,NA
S.siderea,Manipulated,2-18-d,18,NA,1,1,1,2,NA
S.siderea,Control,2-19-a,19,0.512837635,0.779658304,0.475084589,0.493961112,1,NA
S.siderea,Manipulated,2-19-b,19,1,0.932498043,1,NA,1,NA
S.siderea,Manipulated,2-19-c,19,1,0.971479252,1,1,2,NA
S.siderea,Manipulated,2-19-d,19,1,1,1,1,2,NA
S.siderea,Manipulated,2-22-a,22,0,0,0,NA,1,n
S.siderea,Manipulated,2-22-b,22,NA,0,0,0,1,n
S.siderea,Manipulated,2-22-c,22,NA,0,0.089262986,0,2,n
S.siderea,Control,2-22-d,22,0.028524568,0,0,0.014262284,2,n
S.siderea,Manipulated,2-23-a,23,NA,0,1,1,1,n
S.siderea,Control,2-23-b,23,0,0,0,0,1,n
S.siderea,Manipulated,2-23-c,23,0.741940461,0.592263063,0.991072555,1,2,NA
S.siderea,Manipulated,2-23-d,23,1,0.279185985,0.996371332,1,2,NA
S.siderea,Manipulated,2-26-a,26,NA,0,1,1,1,n
S.siderea,Manipulated,2-26-b,26,NA,0,0,NA,1,n
S.siderea,Control,2-26-c,26,0,0,0.023908829,0.011954414,2,n
S.siderea,Manipulated,2-26-d,26,0,0,NA,NA,2,n
S.siderea,Manipulated,2-3-a,3,0.630528654,0.296083451,0.008270089,1,1,NA
S.siderea,Manipulated,2-3-b,3,0,0.204653459,0.869339722,1,1,y
S.siderea,Control,2-3-c,3,0.476035389,0.660181677,0.903992961,0.690014175,2,NA
S.siderea,Manipulated,2-3-d,3,0.995620239,0.631900151,0.938954542,0.715299083,2,NA
S.siderea,Manipulated,2-35-a,35,NA,1,1,1,1,NA
S.siderea,Manipulated,2-35-b,35,1,1,1,NA,1,NA
S.siderea,Manipulated,2-35-c,35,1,1,1,1,2,NA
S.siderea,Control,2-35-d,35,1,1,1,1,2,NA
S.siderea,Manipulated,2-41-a,41,0.990259048,1,1,1,1,NA
S.siderea,Control,2-41-b,41,0.997806072,0.983968157,1,0.998903036,1,NA
S.siderea,Manipulated,2-41-c,41,1,0.988140487,1,1,2,NA
S.siderea,Manipulated,2-41-d,41,1,0.88518018,1,1,2,NA
S.siderea,Manipulated,2-48-a,48,NA,NA,NA,NA,1,NA
S.siderea,Manipulated,2-48-b,48,NA,NA,0,NA,1,NA
S.siderea,Manipulated,2-48-c,48,NA,NA,0.996044208,NA,2,NA
S.siderea,Manipulated,2-48-d,48,NA,NA,0.998768934,NA,2,NA